,Total do dia,Palestra 1,,Palestra 2,,Palestra 3,,Tertúlia,
Número de Aluno,Pontos,Número,Pontuação,Número,Pontuação,Número,Pontuação,Número,Pontuação
62952,151,62952,1,68765,10,68765,5,68765,1
70582,0,62118,1,,,,,,
62118,151,64200,10,,,,,,
73575,0,71096,20,,,,,,
42817,0,,,,,,,,
66472,0,,,,,,,,
74575,0,,,,,,,,
68222,0,,,,,,,,
70569,0,,,,,,,,
70633,0,,,,,,,,
68886,0,,,,,,,,
65631,0,,,,,,,,
66576,0,,,,,,,,
68765,516,,,,,,,,
70677,0,,,,,,,,
71096,170,,,,,,,,
64200,160,,,,,,,,
68128,0,,,,,,,,
74044,0,,,,,,,,
68603,0,,,,,,,,
68702,0,,,,,,,,
72743,0,,,,,,,,
68536,0,,,,,,,,
68689,0,,,,,,,,
66519,0,,,,,,,,
71826,0,,,,,,,,
70533,0,,,,,,,,
66550,0,,,,,,,,
73143,0,,,,,,,,
74139,0,,,,,,,,
73072,0,,,,,,,,
73239,0,,,,,,,,
68686,0,,,,,,,,
68584,0,,,,,,,,
73940,0,,,,,,,,
70742,0,,,,,,,,
698532,0,,,,,,,,
68657,0,,,,,,,,
63984,0,,,,,,,,
68525,0,,,,,,,,
65105,0,,,,,,,,
70863,0,,,,,,,,
66659,0,,,,,,,,
68636,0,,,,,,,,
68582,0,,,,,,,,
71021,0,,,,,,,,
73922,0,,,,,,,,
73392,0,,,,,,,,
68906,0,,,,,,,,